id,device_id,name,description,command,is_toggle,current_state
97948807,91199191,Power,Toggle on or off TV,2600d2008f9211371237123612131113121312121214113712371236121312131113121312121213123711381213111311371238103811381113111411381137111411131114120005c48f9112371236123712131113121312131014113811371238101411141014121311131114113811371213121212381039103811381114101411371237111411141014110005c58f911237113711381213111410141114101411381138103910141114111311141114101411381137111411141039103811381137121311131237113910141114101411000d05,True,0
74573751,36249267,Power,Toggle on the setup box.,260050000001229311131213111212131211121312131112121311381237123712131138123712131112121311381237121311121213111212371338111212131138123712371237120004b300011f4912000d05,True,0
62697048,48330077,Turn on,Turn on the aircon,260040006900013d0e340e1310120e130f340e1210130d130f120f130e120f130e130f130e130f130e330f130e340e350d130f340d130f130e350e330f340e340f000d05,False,-1
81086554,48330077,Turn off,Turn off the aircon,260040006500013d0f330f130e130e130f330f130e120f130e340e350e130e120f130f120e130e130f130d130f130e130e120f340f130d350e130f130e130e340e000d05,False,-1
36317943,48330077,Temperature up,Turn up temp,260040006a00013e0f340e130f120e130f340d140e140d130f130e130f120e130e350e130e130e130f340f330e130f130e140e340e130e140e340d130f130e130e000d05,False,-1
53860042,48330077,Temperature down,Turn down,260040006a00013d0f330f140d130f130e3310130e1211110e130f130e130f130e330f130f120f130d350e1210330f340d140e340e130f130e120f340e340f340f000d05,False,-1
4265244,34385224,Power,Turn projector off or on,2600ec006d390d100c2c0c100d0f0d100b100c100d0f0d0f0d100c100b100d0f0d2c0c100c100b110c100d0f0c100c100c100d0f0c2c0c100c100d0f0d2c0b100c100d2c0c100c100b100d0f0d100c100c100c100c110b2c0c100c2c0c2c0c2c0d2c0c100b100c2c0d100c2c0b110c2c0c2c0c2c0c2c0c0009676e390d13092b0c100d0f0d0f0d100c100b110c0f0d100c100c100c100c2b0d100c100c100d0f0c100c100c100c100d0f0d2c0b100c100d0f0d2c0c100b110c2b0d100c100c100d0f0c0f0d100c100c100d0f0d2c0c0f0c2c0d2c0b2c0d2b0d100c100c2c0c0f0d2c0c100d2a0d2c0c2c0d2c0b000d05,True,0
368101,34385224,Enter,Press enter on remote,2600ec006e390d0f0d2c0b110b100d0f0e0e0d100c100c100c0f0d0f0d100c100c2c0c0f0d100c100c100c100d0f0c110b100c100c2c0d0f0d100b100c2c0d0f0d100c2b0d0f0d0f0d100c100c100c100c0f0d100c100e0e0c2c0c100c100c2c0d2b0c2d0b100d0f0d2c0c100b2c0d2c0c2c0c0f0d2c0c00095d6e390d0f0d2c0c100b110c0f0d100c100c100c100d0f0c0f0d100c100c2c0d0f0c100c100c100d0f0d0f0d100b110b100c2c0d100c100c100b2c0d100c100c2c0c100c0f0d100c100c100d0f0c100c100c100c100d2b0c110b100c2c0d2c0c2b0c100d0f0d2c0c100b2c0d2c0c2c0c100c2c0c000d05,False,-1
45706741,34385224,Up,Press up on remote,2600ec006d3a0d0f0e2a0d100c0f0d0f0d0f0e0e0d100c100b100e0e0e0e0e0f0d2b0d0e0d0f0e0f0d0f0d0f0d0f100c0d0f0c100d2b0d0f0d100c0f0d2b0d0f0d100c2b0e0e0e0e0d100d0f0d0f0c100d0e0e0f0d0f0c100d2b0c100d2b0c2c0d100b2c0e0e0e0e0d2c0c0f0c100e2b0c100c100d2a0e0009646d3a0c0f0d2b0e0f0c100c100d0e0e0e0e0f0c100d0f0d0f0c0f0d100c2c0d0f0d0f0d100b100c100e0e0e0e0d100c100c2b0d0f0e0f0c100c2b0e0e0d100d2b0d0f0c100d0f0d0f0d0f0e0e0d0f0d100b100d0f0e2a0d100c2b0e2a0e0f0d2b0d0e0e0e0e2b0d0f0d0f0d2b0d0f0d0f0e2a0d000d05,False,-1
9924375,34385224,Down,Press down on remote,2600ec006d3a0d0f0d2b0c100d0f0d0f0d0f0c100d0f0c100c100d0f0d100b100c2c0d0f0d0f0d100b110b100d0f0d100c100c100c2b0d0f0d100c100c2c0c0f0d100c2c0d0f0d0f0c110b100c100d0f0d0f0d100c100b2c0d2c0c100c2b0d2c0c100c2c0c100c2c0c2c0d0f0c100c2c0c100d0f0d2c0b00095e6e3a0c100b2c0d0f0d100c100c100c100c0f0e0f0c100c100c100d0f0c2c0c100c100d0f0d0f0c110b100c100d0f0d0f0d2c0b100d0f0d0f0d2c0c100c0f0d2c0c100c100d0f0c0f0d100c100c100c100d0f0d2b0c2c0d0f0d2c0b2c0d0f0d2c0c100b2c0d2c0c100c100c2b0d100c100c2c0d000d05,False,-1
14039559,34385224,Left,Press left on remote,2600ec006d3a0d0f0d2b0c100d0f0d100b100d0f0d0f0d0f0d100c100b100d0f0e2b0c100c100c100d0e0e0f0c100d0f0c100d0f0d2b0c100d0f0e0e0d2b0e0e0c100d2b0d100c100b100d0f0d100c100c100c100d0e0e0f0c100c2c0d2a0e2b0c100d2b0c110b100d0f0d2b0d100c2b0e0e0e0e0e2b0c0009646e390d100c2b0c100d0f0e0f0c100c100b100d0f0e0f0d0f0c100c100d2b0c100d0f0c100d0f0d100b100d100b100d0f0e2b0b100e0e0e0e0e2b0c100b110c2c0d0f0d0f0c100d0f0c100d0f0d0f0c100d0f0d100b100d2b0d2b0d2b0c100e2a0d100c100c100c2c0d0f0c2c0d0f0c0f0e2b0d000d05,False,-1
63789326,34385224,Right,Press right on remote,2600ec006d3a0c100d2b0c110b100c100d0f0d0f0d100b110b100d0f0d0f0d100c2c0c0f0d0f0d100c100c100c100c100c100c100c2c0d0f0c110b100c2c0d0f0d0f0c2c0c100d0f0d0f0d100c100b110c0f0d0f0d100c2c0c100c2c0c2c0d2b0c110b2c0d0f0d2c0b100c2c0d0f0d2c0b110b100d2c0c00095d6e390d100c2c0d0f0c0f0d100c100c100d0f0c100c100c100c100c100d2c0b100c100c100d0f0d100c100b110b100d0f0d2c0c100b110c0f0d2c0c100c100d2a0d100c100c100d0f0d0f0d100b100c100d0f0d2c0b110b2c0d2c0c2c0c0f0d2c0c100c2c0c0f0d2c0c100c2c0c110b100c2c0d000d05,False,-1
40649848,34385224,Menu,Press menu on remote,2600ec006d3a0c100d2b0c100e0e0d100c0f0c100d0f0e0e0e0f0c100c100d0e0e2b0d0f0c100c100d0e0d100d0f0d0f0c100d0f0d2b0c100d0f0d0f0d2c0c0f0c100e2a0d100c100b100d0f0d0f0e0f0c100c100d0e0d0f0d2c0c100c2b0d2c0c2c0d2c0b100c100c2c0d100c100b2c0d2b0d100c2c0d00095d6d3a0d0f0d2b0c100d0f0c100d0f0c100d0f0c100d0f0e0e0d100c0f0d2b0e0e0e0e0d100c100c0f0d0f0e0e0e0f0c100c2b0d0f0e0f0d0f0c2c0d0e0e0f0d2b0e0e0d0f0d100c0f0c100d0f0e0e0d100c100c0f0e2a0e0f0c2c0d2a0d2c0c2c0d110a100d2b0d0f0d0f0d2b0d2b0d0f0d2c0c000d05,False,-1
